"","values","description"
"StartDate.1","2019-07-04 14:21:30","2019-07-04 14:21:30"
"StartDate.2","2019-07-05 02:14:00","2019-07-05 02:14:00"
"StartDate.3","2019-07-05 02:14:04","2019-07-05 02:14:04"
"StartDate.4","2019-07-05 02:14:19","2019-07-05 02:14:19"
"StartDate.5","2019-07-05 02:14:23","2019-07-05 02:14:23"
"StartDate.6","2019-07-05 02:14:28","2019-07-05 02:14:28"
"StartDate.7","2019-07-05 02:14:29","2019-07-05 02:14:29"
"StartDate.8","2019-07-05 02:14:30","2019-07-05 02:14:30"
"StartDate.9","2019-07-05 02:14:40","2019-07-05 02:14:40"
"StartDate.10","2019-07-05 02:14:46","2019-07-05 02:14:46"
"StartDate.11","2019-07-05 02:14:47","2019-07-05 02:14:47"
"StartDate.12","2019-07-05 02:14:49","2019-07-05 02:14:49"
"StartDate.13","2019-07-05 02:14:51","2019-07-05 02:14:51"
"StartDate.14","2019-07-05 02:14:54","2019-07-05 02:14:54"
"StartDate.15","2019-07-05 02:15:25","2019-07-05 02:15:25"
"StartDate.16","2019-07-05 02:15:26","2019-07-05 02:15:26"
"StartDate.17","2019-07-05 02:15:27","2019-07-05 02:15:27"
"StartDate.18","2019-07-05 02:15:29","2019-07-05 02:15:29"
"StartDate.19","2019-07-05 02:15:31","2019-07-05 02:15:31"
"StartDate.20","2019-07-05 02:15:32","2019-07-05 02:15:32"
"StartDate.21","2019-07-05 02:15:33","2019-07-05 02:15:33"
"StartDate.22","2019-07-05 02:16:05","2019-07-05 02:16:05"
"StartDate.23","2019-07-05 02:16:06","2019-07-05 02:16:06"
"StartDate.24","2019-07-05 02:16:12","2019-07-05 02:16:12"
"StartDate.25","2019-07-05 02:16:15","2019-07-05 02:16:15"
"StartDate.26","2019-07-05 02:16:16","2019-07-05 02:16:16"
"StartDate.27","2019-07-05 02:16:26","2019-07-05 02:16:26"
"StartDate.28","2019-07-05 02:16:28","2019-07-05 02:16:28"
"StartDate.29","2019-07-05 02:16:34","2019-07-05 02:16:34"
"StartDate.30","2019-07-05 02:16:46","2019-07-05 02:16:46"
"StartDate.31","2019-07-05 02:16:50","2019-07-05 02:16:50"
"StartDate.32","2019-07-05 02:16:57","2019-07-05 02:16:57"
"StartDate.33","2019-07-05 02:17:03","2019-07-05 02:17:03"
"StartDate.34","2019-07-05 02:17:19","2019-07-05 02:17:19"
"StartDate.35","2019-07-05 02:17:22","2019-07-05 02:17:22"
