"","values","description"
"StartDate.36","2019-07-05 02:17:28","2019-07-05 02:17:28"
"StartDate.37","2019-07-05 02:17:33","2019-07-05 02:17:33"
"StartDate.38","2019-07-05 02:17:43","2019-07-05 02:17:43"
"StartDate.39","2019-07-05 02:17:58","2019-07-05 02:17:58"
"StartDate.40","2019-07-05 02:18:01","2019-07-05 02:18:01"
"StartDate.41","2019-07-05 02:18:18","2019-07-05 02:18:18"
"StartDate.42","2019-07-05 02:18:25","2019-07-05 02:18:25"
"StartDate.43","2019-07-05 02:18:29","2019-07-05 02:18:29"
"StartDate.44","2019-07-05 02:18:40","2019-07-05 02:18:40"
"StartDate.45","2019-07-05 02:19:07","2019-07-05 02:19:07"
"StartDate.46","2019-07-05 02:19:09","2019-07-05 02:19:09"
"StartDate.47","2019-07-05 02:19:19","2019-07-05 02:19:19"
"StartDate.48","2019-07-05 02:19:24","2019-07-05 02:19:24"
"StartDate.49","2019-07-05 02:19:30","2019-07-05 02:19:30"
"StartDate.50","2019-07-05 02:19:48","2019-07-05 02:19:48"
"StartDate.51","2019-07-05 02:19:52","2019-07-05 02:19:52"
"StartDate.52","2019-07-05 02:19:55","2019-07-05 02:19:55"
"StartDate.53","2019-07-05 02:20:05","2019-07-05 02:20:05"
"StartDate.54","2019-07-05 02:20:07","2019-07-05 02:20:07"
"StartDate.55","2019-07-05 02:20:11","2019-07-05 02:20:11"
"StartDate.56","2019-07-05 02:20:39","2019-07-05 02:20:39"
"StartDate.57","2019-07-05 02:20:44","2019-07-05 02:20:44"
"StartDate.58","2019-07-05 02:20:54","2019-07-05 02:20:54"
"StartDate.59","2019-07-05 02:21:02","2019-07-05 02:21:02"
"StartDate.60","2019-07-05 02:21:21","2019-07-05 02:21:21"
"StartDate.61","2019-07-05 02:21:24","2019-07-05 02:21:24"
"StartDate.62","2019-07-05 02:21:45","2019-07-05 02:21:45"
"StartDate.63","2019-07-05 02:21:56","2019-07-05 02:21:56"
"StartDate.64","2019-07-05 02:22:06","2019-07-05 02:22:06"
"StartDate.65","2019-07-05 02:22:11","2019-07-05 02:22:11"
"StartDate.66","2019-07-05 02:22:32","2019-07-05 02:22:32"
"StartDate.67","2019-07-05 02:22:49","2019-07-05 02:22:49"
"StartDate.68","2019-07-05 02:23:15","2019-07-05 02:23:15"
"StartDate.69","2019-07-05 02:23:23","2019-07-05 02:23:23"
"StartDate.70","2019-07-05 02:24:30","2019-07-05 02:24:30"
"StartDate.71","2019-07-05 02:24:34","2019-07-05 02:24:34"
"StartDate.72","2019-07-05 02:25:13","2019-07-05 02:25:13"
"StartDate.73","2019-07-05 02:26:46","2019-07-05 02:26:46"
"StartDate.74","2019-07-05 02:26:51","2019-07-05 02:26:51"
"StartDate.75","2019-07-05 02:26:52","2019-07-05 02:26:52"
"StartDate.76","2019-07-05 02:27:07","2019-07-05 02:27:07"
"StartDate.77","2019-07-05 02:27:10","2019-07-05 02:27:10"
"StartDate.78","2019-07-05 02:27:13","2019-07-05 02:27:13"
"StartDate.79","2019-07-05 02:27:14","2019-07-05 02:27:14"
"StartDate.80","2019-07-05 02:28:07","2019-07-05 02:28:07"
"StartDate.81","2019-07-05 02:28:32","2019-07-05 02:28:32"
"StartDate.82","2019-07-05 02:28:39","2019-07-05 02:28:39"
"StartDate.83","2019-07-05 02:29:22","2019-07-05 02:29:22"
"StartDate.84","2019-07-05 02:29:45","2019-07-05 02:29:45"
"StartDate.85","2019-07-05 02:31:19","2019-07-05 02:31:19"
"StartDate.86","2019-07-05 02:32:04","2019-07-05 02:32:04"
"StartDate.87","2019-07-05 02:32:35","2019-07-05 02:32:35"
"StartDate.88","2019-07-05 02:32:56","2019-07-05 02:32:56"
"StartDate.89","2019-07-05 02:33:30","2019-07-05 02:33:30"
"StartDate.90","2019-07-05 02:33:37","2019-07-05 02:33:37"
"StartDate.91","2019-07-05 02:34:35","2019-07-05 02:34:35"
"StartDate.92","2019-07-05 02:35:01","2019-07-05 02:35:01"
"StartDate.93","2019-07-05 02:35:04","2019-07-05 02:35:04"
"StartDate.94","2019-07-05 02:35:22","2019-07-05 02:35:22"
"StartDate.95","2019-07-05 02:36:16","2019-07-05 02:36:16"
"StartDate.96","2019-07-05 02:36:19","2019-07-05 02:36:19"
"StartDate.97","2019-07-05 02:37:24","2019-07-05 02:37:24"
"StartDate.98","2019-07-05 02:37:53","2019-07-05 02:37:53"
"StartDate.99","2019-07-05 02:37:55","2019-07-05 02:37:55"
"StartDate.100","2019-07-05 02:38:31","2019-07-05 02:38:31"
"StartDate.101","2019-07-05 02:39:17","2019-07-05 02:39:17"
"StartDate.102","2019-07-05 02:40:10","2019-07-05 02:40:10"
"StartDate.103","2019-07-05 02:40:43","2019-07-05 02:40:43"
"StartDate.104","2019-07-05 02:42:38","2019-07-05 02:42:38"
"StartDate.105","2019-07-05 02:45:15","2019-07-05 02:45:15"
"StartDate.106","2019-07-05 02:45:50","2019-07-05 02:45:50"
"StartDate.107","2019-07-05 02:45:55","2019-07-05 02:45:55"
"StartDate.108","2019-07-05 02:46:31","2019-07-05 02:46:31"
"StartDate.109","2019-07-05 02:47:08","2019-07-05 02:47:08"
"StartDate.110","2019-07-05 02:47:55","2019-07-05 02:47:55"
"StartDate.111","2019-07-05 02:48:14","2019-07-05 02:48:14"
"StartDate.112","2019-07-05 02:48:17","2019-07-05 02:48:17"
"StartDate.113","2019-07-05 02:49:37","2019-07-05 02:49:37"
"StartDate.114","2019-07-05 02:49:38","2019-07-05 02:49:38"
"StartDate.115","2019-07-05 02:50:24","2019-07-05 02:50:24"
"StartDate.116","2019-07-05 02:50:33","2019-07-05 02:50:33"
"StartDate.117","2019-07-05 02:51:19","2019-07-05 02:51:19"
"StartDate.118","2019-07-05 02:51:23","2019-07-05 02:51:23"
"StartDate.119","2019-07-05 02:52:09","2019-07-05 02:52:09"
"StartDate.120","2019-07-05 02:52:25","2019-07-05 02:52:25"
"StartDate.121","2019-07-05 02:52:28","2019-07-05 02:52:28"
"StartDate.122","2019-07-05 02:54:13","2019-07-05 02:54:13"
"StartDate.123","2019-07-05 02:54:15","2019-07-05 02:54:15"
"StartDate.124","2019-07-05 02:54:18","2019-07-05 02:54:18"
"StartDate.125","2019-07-05 02:54:36","2019-07-05 02:54:36"
"StartDate.126","2019-07-05 02:55:41","2019-07-05 02:55:41"
"StartDate.127","2019-07-05 02:55:55","2019-07-05 02:55:55"
"StartDate.128","2019-07-05 02:56:59","2019-07-05 02:56:59"
"StartDate.129","2019-07-05 02:57:29","2019-07-05 02:57:29"
"StartDate.130","2019-07-05 02:58:43","2019-07-05 02:58:43"
"StartDate.131","2019-07-05 02:59:38","2019-07-05 02:59:38"
"StartDate.132","2019-07-05 03:03:18","2019-07-05 03:03:18"
"StartDate.133","2019-07-05 03:04:52","2019-07-05 03:04:52"
"StartDate.134","2019-07-05 03:05:00","2019-07-05 03:05:00"
"StartDate.135","2019-07-05 03:05:40","2019-07-05 03:05:40"
"StartDate.136","2019-07-05 03:06:02","2019-07-05 03:06:02"
"StartDate.137","2019-07-05 03:07:25","2019-07-05 03:07:25"
"StartDate.138","2019-07-05 03:10:46","2019-07-05 03:10:46"
"StartDate.139","2019-07-05 03:11:09","2019-07-05 03:11:09"
"StartDate.140","2019-07-05 03:12:03","2019-07-05 03:12:03"
"StartDate.141","2019-07-05 03:12:39","2019-07-05 03:12:39"
"StartDate.142","2019-07-05 03:14:58","2019-07-05 03:14:58"
"StartDate.143","2019-07-05 03:21:07","2019-07-05 03:21:07"
"StartDate.144","2019-07-05 03:22:19","2019-07-05 03:22:19"
"StartDate.145","2019-07-05 03:23:01","2019-07-05 03:23:01"
"StartDate.146","2019-07-05 03:23:08","2019-07-05 03:23:08"
"StartDate.147","2019-07-05 03:24:45","2019-07-05 03:24:45"
"StartDate.148","2019-07-05 03:24:47","2019-07-05 03:24:47"
"StartDate.149","2019-07-05 03:27:42","2019-07-05 03:27:42"
"StartDate.150","2019-07-05 03:29:52","2019-07-05 03:29:52"
"StartDate.151","2019-07-05 03:30:37","2019-07-05 03:30:37"
"StartDate.152","2019-07-05 03:31:33","2019-07-05 03:31:33"
"StartDate.153","2019-07-05 03:31:50","2019-07-05 03:31:50"
"StartDate.154","2019-07-05 03:35:21","2019-07-05 03:35:21"
"StartDate.155","2019-07-05 03:36:26","2019-07-05 03:36:26"
"StartDate.156","2019-07-05 03:37:49","2019-07-05 03:37:49"
"StartDate.157","2019-07-05 03:38:35","2019-07-05 03:38:35"
"StartDate.158","2019-07-05 03:44:16","2019-07-05 03:44:16"
"StartDate.159","2019-07-05 03:46:44","2019-07-05 03:46:44"
"StartDate.160","2019-07-05 03:49:16","2019-07-05 03:49:16"
"StartDate.161","2019-07-05 03:52:35","2019-07-05 03:52:35"
"StartDate.162","2019-07-05 03:55:48","2019-07-05 03:55:48"
"StartDate.163","2019-07-05 03:55:58","2019-07-05 03:55:58"
"StartDate.164","2019-07-05 03:58:37","2019-07-05 03:58:37"
"StartDate.165","2019-07-05 04:01:07","2019-07-05 04:01:07"
"StartDate.166","2019-07-05 04:05:21","2019-07-05 04:05:21"
"StartDate.167","2019-07-05 04:05:45","2019-07-05 04:05:45"
"StartDate.168","2019-07-05 04:10:31","2019-07-05 04:10:31"
"StartDate.169","2019-07-05 04:13:37","2019-07-05 04:13:37"
"StartDate.170","2019-07-05 04:15:57","2019-07-05 04:15:57"
"StartDate.171","2019-07-05 04:20:56","2019-07-05 04:20:56"
"StartDate.172","2019-07-05 04:32:19","2019-07-05 04:32:19"
"StartDate.173","2019-07-05 04:38:42","2019-07-05 04:38:42"
"StartDate.174","2019-07-05 05:01:30","2019-07-05 05:01:30"
"StartDate.175","2019-07-05 05:03:48","2019-07-05 05:03:48"
"EndDate.1","2019-07-04 14:22:02","2019-07-04 14:22:02"
"EndDate.2","2019-07-05 02:15:51","2019-07-05 02:15:51"
"EndDate.3","2019-07-05 02:16:11","2019-07-05 02:16:11"
"EndDate.4","2019-07-05 02:16:21","2019-07-05 02:16:21"
"EndDate.5","2019-07-05 02:16:38","2019-07-05 02:16:38"
"EndDate.6","2019-07-05 02:16:55","2019-07-05 02:16:55"
"EndDate.7","2019-07-05 02:17:13","2019-07-05 02:17:13"
"EndDate.8","2019-07-05 02:17:17","2019-07-05 02:17:17"
"EndDate.9","2019-07-05 02:17:33","2019-07-05 02:17:33"
"EndDate.10","2019-07-05 02:17:38","2019-07-05 02:17:38"
"EndDate.11","2019-07-05 02:18:02","2019-07-05 02:18:02"
"EndDate.12","2019-07-05 02:18:12","2019-07-05 02:18:12"
"EndDate.13","2019-07-05 02:18:16","2019-07-05 02:18:16"
"EndDate.14","2019-07-05 02:18:29","2019-07-05 02:18:29"
"EndDate.15","2019-07-05 02:18:36","2019-07-05 02:18:36"
"EndDate.16","2019-07-05 02:18:47","2019-07-05 02:18:47"
"EndDate.17","2019-07-05 02:18:53","2019-07-05 02:18:53"
"EndDate.18","2019-07-05 02:19:04","2019-07-05 02:19:04"
"EndDate.19","2019-07-05 02:19:30","2019-07-05 02:19:30"
"EndDate.20","2019-07-05 02:19:37","2019-07-05 02:19:37"
"EndDate.21","2019-07-05 02:19:51","2019-07-05 02:19:51"
"EndDate.22","2019-07-05 02:20:00","2019-07-05 02:20:00"
"EndDate.23","2019-07-05 02:20:36","2019-07-05 02:20:36"
"EndDate.24","2019-07-05 02:21:10","2019-07-05 02:21:10"
"EndDate.25","2019-07-05 02:21:32","2019-07-05 02:21:32"
"EndDate.26","2019-07-05 02:21:41","2019-07-05 02:21:41"
"EndDate.27","2019-07-05 02:21:42","2019-07-05 02:21:42"
"EndDate.28","2019-07-05 02:21:53","2019-07-05 02:21:53"
"EndDate.29","2019-07-05 02:22:02","2019-07-05 02:22:02"
"EndDate.30","2019-07-05 02:22:21","2019-07-05 02:22:21"
"EndDate.31","2019-07-05 02:22:38","2019-07-05 02:22:38"
"EndDate.32","2019-07-05 02:22:39","2019-07-05 02:22:39"
"EndDate.33","2019-07-05 02:23:05","2019-07-05 02:23:05"
"EndDate.34","2019-07-05 02:23:15","2019-07-05 02:23:15"
"EndDate.35","2019-07-05 02:23:27","2019-07-05 02:23:27"
"EndDate.36","2019-07-05 02:23:28","2019-07-05 02:23:28"
"EndDate.37","2019-07-05 02:23:33","2019-07-05 02:23:33"
"EndDate.38","2019-07-05 02:23:56","2019-07-05 02:23:56"
"EndDate.39","2019-07-05 02:24:04","2019-07-05 02:24:04"
"EndDate.40","2019-07-05 02:24:13","2019-07-05 02:24:13"
"EndDate.41","2019-07-05 02:24:14","2019-07-05 02:24:14"
"EndDate.42","2019-07-05 02:24:39","2019-07-05 02:24:39"
"EndDate.43","2019-07-05 02:24:59","2019-07-05 02:24:59"
"EndDate.44","2019-07-05 02:25:03","2019-07-05 02:25:03"
"EndDate.45","2019-07-05 02:25:08","2019-07-05 02:25:08"
"EndDate.46","2019-07-05 02:25:17","2019-07-05 02:25:17"
"EndDate.47","2019-07-05 02:25:50","2019-07-05 02:25:50"
"EndDate.48","2019-07-05 02:25:54","2019-07-05 02:25:54"
"EndDate.49","2019-07-05 02:26:00","2019-07-05 02:26:00"
"EndDate.50","2019-07-05 02:26:01","2019-07-05 02:26:01"
"EndDate.51","2019-07-05 02:26:21","2019-07-05 02:26:21"
"EndDate.52","2019-07-05 02:26:22","2019-07-05 02:26:22"
"EndDate.53","2019-07-05 02:26:29","2019-07-05 02:26:29"
"EndDate.54","2019-07-05 02:26:35","2019-07-05 02:26:35"
"EndDate.55","2019-07-05 02:26:36","2019-07-05 02:26:36"
"EndDate.56","2019-07-05 02:26:44","2019-07-05 02:26:44"
"EndDate.57","2019-07-05 02:27:19","2019-07-05 02:27:19"
"EndDate.58","2019-07-05 02:27:21","2019-07-05 02:27:21"
"EndDate.59","2019-07-05 02:28:16","2019-07-05 02:28:16"
"EndDate.60","2019-07-05 02:28:18","2019-07-05 02:28:18"
"EndDate.61","2019-07-05 02:28:27","2019-07-05 02:28:27"
"EndDate.62","2019-07-05 02:29:06","2019-07-05 02:29:06"
"EndDate.63","2019-07-05 02:29:09","2019-07-05 02:29:09"
"EndDate.64","2019-07-05 02:29:21","2019-07-05 02:29:21"
"EndDate.65","2019-07-05 02:29:25","2019-07-05 02:29:25"
"EndDate.66","2019-07-05 02:30:26","2019-07-05 02:30:26"
"EndDate.67","2019-07-05 02:30:38","2019-07-05 02:30:38"
"EndDate.68","2019-07-05 02:30:40","2019-07-05 02:30:40"
"EndDate.69","2019-07-05 02:30:44","2019-07-05 02:30:44"
"EndDate.70","2019-07-05 02:30:56","2019-07-05 02:30:56"
"EndDate.71","2019-07-05 02:31:53","2019-07-05 02:31:53"
"EndDate.72","2019-07-05 02:32:17","2019-07-05 02:32:17"
"EndDate.73","2019-07-05 02:32:41","2019-07-05 02:32:41"
"EndDate.74","2019-07-05 02:32:51","2019-07-05 02:32:51"
"EndDate.75","2019-07-05 02:33:04","2019-07-05 02:33:04"
"EndDate.76","2019-07-05 02:33:16","2019-07-05 02:33:16"
"EndDate.77","2019-07-05 02:33:41","2019-07-05 02:33:41"
"EndDate.78","2019-07-05 02:34:18","2019-07-05 02:34:18"
"EndDate.79","2019-07-05 02:34:20","2019-07-05 02:34:20"
"EndDate.80","2019-07-05 02:34:44","2019-07-05 02:34:44"
"EndDate.81","2019-07-05 02:35:04","2019-07-05 02:35:04"
"EndDate.82","2019-07-05 02:35:50","2019-07-05 02:35:50"
"EndDate.83","2019-07-05 02:36:56","2019-07-05 02:36:56"
"EndDate.84","2019-07-05 02:37:41","2019-07-05 02:37:41"
"EndDate.85","2019-07-05 02:37:52","2019-07-05 02:37:52"
"EndDate.86","2019-07-05 02:38:16","2019-07-05 02:38:16"
"EndDate.87","2019-07-05 02:38:20","2019-07-05 02:38:20"
"EndDate.88","2019-07-05 02:39:00","2019-07-05 02:39:00"
"EndDate.89","2019-07-05 02:39:39","2019-07-05 02:39:39"
"EndDate.90","2019-07-05 02:41:25","2019-07-05 02:41:25"
"EndDate.91","2019-07-05 02:42:10","2019-07-05 02:42:10"
"EndDate.92","2019-07-05 02:42:32","2019-07-05 02:42:32"
"EndDate.93","2019-07-05 02:42:34","2019-07-05 02:42:34"
"EndDate.94","2019-07-05 02:44:13","2019-07-05 02:44:13"
"EndDate.95","2019-07-05 02:44:21","2019-07-05 02:44:21"
"EndDate.96","2019-07-05 02:44:27","2019-07-05 02:44:27"
"EndDate.97","2019-07-05 02:45:44","2019-07-05 02:45:44"
"EndDate.98","2019-07-05 02:46:18","2019-07-05 02:46:18"
"EndDate.99","2019-07-05 02:48:09","2019-07-05 02:48:09"
"EndDate.100","2019-07-05 02:50:12","2019-07-05 02:50:12"
"EndDate.101","2019-07-05 02:50:25","2019-07-05 02:50:25"
"EndDate.102","2019-07-05 02:50:46","2019-07-05 02:50:46"
"EndDate.103","2019-07-05 02:50:47","2019-07-05 02:50:47"
"EndDate.104","2019-07-05 02:51:03","2019-07-05 02:51:03"
"EndDate.105","2019-07-05 02:51:48","2019-07-05 02:51:48"
"EndDate.106","2019-07-05 02:52:32","2019-07-05 02:52:32"
"EndDate.107","2019-07-05 02:52:44","2019-07-05 02:52:44"
"EndDate.108","2019-07-05 02:55:10","2019-07-05 02:55:10"
"EndDate.109","2019-07-05 02:55:47","2019-07-05 02:55:47"
"EndDate.110","2019-07-05 02:55:52","2019-07-05 02:55:52"
"EndDate.111","2019-07-05 02:56:34","2019-07-05 02:56:34"
"EndDate.112","2019-07-05 02:57:05","2019-07-05 02:57:05"
"EndDate.113","2019-07-05 02:57:29","2019-07-05 02:57:29"
"EndDate.114","2019-07-05 02:57:34","2019-07-05 02:57:34"
"EndDate.115","2019-07-05 02:57:37","2019-07-05 02:57:37"
"EndDate.116","2019-07-05 02:57:44","2019-07-05 02:57:44"
"EndDate.117","2019-07-05 02:58:20","2019-07-05 02:58:20"
"EndDate.118","2019-07-05 02:58:54","2019-07-05 02:58:54"
"EndDate.119","2019-07-05 02:59:54","2019-07-05 02:59:54"
"EndDate.120","2019-07-05 03:04:04","2019-07-05 03:04:04"
"EndDate.121","2019-07-05 03:04:30","2019-07-05 03:04:30"
"EndDate.122","2019-07-05 03:05:03","2019-07-05 03:05:03"
"EndDate.123","2019-07-05 03:05:15","2019-07-05 03:05:15"
"EndDate.124","2019-07-05 03:08:06","2019-07-05 03:08:06"
"EndDate.125","2019-07-05 03:08:13","2019-07-05 03:08:13"
"EndDate.126","2019-07-05 03:09:16","2019-07-05 03:09:16"
"EndDate.127","2019-07-05 03:11:04","2019-07-05 03:11:04"
"EndDate.128","2019-07-05 03:11:58","2019-07-05 03:11:58"
"EndDate.129","2019-07-05 03:13:42","2019-07-05 03:13:42"
"EndDate.130","2019-07-05 03:14:32","2019-07-05 03:14:32"
"EndDate.131","2019-07-05 03:14:34","2019-07-05 03:14:34"
"EndDate.132","2019-07-05 03:14:37","2019-07-05 03:14:37"
"EndDate.133","2019-07-05 03:14:40","2019-07-05 03:14:40"
"EndDate.134","2019-07-05 03:17:43","2019-07-05 03:17:43"
"EndDate.135","2019-07-05 03:23:49","2019-07-05 03:23:49"
"EndDate.136","2019-07-05 03:24:25","2019-07-05 03:24:25"
"EndDate.137","2019-07-05 03:25:31","2019-07-05 03:25:31"
"EndDate.138","2019-07-05 03:27:16","2019-07-05 03:27:16"
"EndDate.139","2019-07-05 03:29:58","2019-07-05 03:29:58"
"EndDate.140","2019-07-05 03:30:18","2019-07-05 03:30:18"
"EndDate.141","2019-07-05 03:30:24","2019-07-05 03:30:24"
"EndDate.142","2019-07-05 03:32:21","2019-07-05 03:32:21"
"EndDate.143","2019-07-05 03:34:24","2019-07-05 03:34:24"
"EndDate.144","2019-07-05 03:35:10","2019-07-05 03:35:10"
"EndDate.145","2019-07-05 03:36:58","2019-07-05 03:36:58"
"EndDate.146","2019-07-05 03:40:12","2019-07-05 03:40:12"
"EndDate.147","2019-07-05 03:40:54","2019-07-05 03:40:54"
"EndDate.148","2019-07-05 03:41:14","2019-07-05 03:41:14"
"EndDate.149","2019-07-05 03:43:05","2019-07-05 03:43:05"
"EndDate.150","2019-07-05 03:48:58","2019-07-05 03:48:58"
"EndDate.151","2019-07-05 03:50:01","2019-07-05 03:50:01"
"EndDate.152","2019-07-05 03:52:01","2019-07-05 03:52:01"
"EndDate.153","2019-07-05 03:54:42","2019-07-05 03:54:42"
"EndDate.154","2019-07-05 03:57:19","2019-07-05 03:57:19"
"EndDate.155","2019-07-05 04:02:44","2019-07-05 04:02:44"
"EndDate.156","2019-07-05 04:05:37","2019-07-05 04:05:37"
"EndDate.157","2019-07-05 04:06:25","2019-07-05 04:06:25"
"EndDate.158","2019-07-05 04:10:35","2019-07-05 04:10:35"
"EndDate.159","2019-07-05 04:10:46","2019-07-05 04:10:46"
"EndDate.160","2019-07-05 04:12:46","2019-07-05 04:12:46"
"EndDate.161","2019-07-05 04:13:57","2019-07-05 04:13:57"
"EndDate.162","2019-07-05 04:15:42","2019-07-05 04:15:42"
"EndDate.163","2019-07-05 04:20:17","2019-07-05 04:20:17"
"EndDate.164","2019-07-05 04:23:16","2019-07-05 04:23:16"
"EndDate.165","2019-07-05 04:35:36","2019-07-05 04:35:36"
"EndDate.166","2019-07-05 04:44:19","2019-07-05 04:44:19"
"EndDate.167","2019-07-05 05:05:01","2019-07-05 05:05:01"
"EndDate.168","2019-07-05 05:10:21","2019-07-05 05:10:21"
"EndDate.169","2019-07-05 08:13:41","2019-07-05 08:13:41"
"Status.1","0","IP Address"
"Status.2","1","Survey Preview"
"Status.3","2","Survey Test"
"Status.4","4","Imported"
"Status.5","8","Spam"
"Status.6","9","Survey Preview Spam"
"Status.7","12","Imported Spam"
"Status.8","16","Offline"
"Status.9","17","Offline Survey Preview"
"Status.10","32","EX"
"Status.11","40","EX Spam"
"Status.12","48","EX Offline"
"Progress.1","8","8"
"Progress.2","25","25"
"Progress.3","42","42"
"Progress.4","58","58"
"Progress.5","75","75"
"Progress.6","92","92"
"Progress.7","100","100"
"Duration__in_seconds_.1","12","12"
"Duration__in_seconds_.2","26","26"
"Duration__in_seconds_.3","28","28"
"Duration__in_seconds_.4","29","29"
"Duration__in_seconds_.5","31","31"
"Duration__in_seconds_.6","35","35"
"Duration__in_seconds_.7","60","60"
"Duration__in_seconds_.8","67","67"
"Duration__in_seconds_.9","69","69"
"Duration__in_seconds_.10","72","72"
"Duration__in_seconds_.11","82","82"
"Duration__in_seconds_.12","85","85"
"Duration__in_seconds_.13","90","90"
"Duration__in_seconds_.14","91","91"
"Duration__in_seconds_.15","92","92"
"Duration__in_seconds_.16","94","94"
"Duration__in_seconds_.17","95","95"
"Duration__in_seconds_.18","96","96"
"Duration__in_seconds_.19","100","100"
"Duration__in_seconds_.20","110","110"
"Duration__in_seconds_.21","113","113"
"Duration__in_seconds_.22","114","114"
"Duration__in_seconds_.23","118","118"
"Duration__in_seconds_.24","119","119"
"Duration__in_seconds_.25","120","120"
"Duration__in_seconds_.26","122","122"
"Duration__in_seconds_.27","125","125"
"Duration__in_seconds_.28","126","126"
"Duration__in_seconds_.29","135","135"
"Duration__in_seconds_.30","138","138"
"Duration__in_seconds_.31","139","139"
"Duration__in_seconds_.32","140","140"
"Duration__in_seconds_.33","141","141"
"Duration__in_seconds_.34","145","145"
"Duration__in_seconds_.35","146","146"
"Duration__in_seconds_.36","149","149"
"Duration__in_seconds_.37","150","150"
"Duration__in_seconds_.38","151","151"
"Duration__in_seconds_.39","153","153"
"Duration__in_seconds_.40","154","154"
"Duration__in_seconds_.41","158","158"
"Duration__in_seconds_.42","159","159"
"Duration__in_seconds_.43","162","162"
"Duration__in_seconds_.44","164","164"
"Duration__in_seconds_.45","170","170"
"Duration__in_seconds_.46","171","171"
"Duration__in_seconds_.47","173","173"
"Duration__in_seconds_.48","174","174"
"Duration__in_seconds_.49","177","177"
"Duration__in_seconds_.50","180","180"
"Duration__in_seconds_.51","181","181"
"Duration__in_seconds_.52","184","184"
"Duration__in_seconds_.53","188","188"
"Duration__in_seconds_.54","192","192"
"Duration__in_seconds_.55","193","193"
"Duration__in_seconds_.56","195","195"
"Duration__in_seconds_.57","196","196"
"Duration__in_seconds_.58","197","197"
"Duration__in_seconds_.59","198","198"
"Duration__in_seconds_.60","200","200"
"Duration__in_seconds_.61","201","201"
"Duration__in_seconds_.62","202","202"
"Duration__in_seconds_.63","204","204"
"Duration__in_seconds_.64","205","205"
"Duration__in_seconds_.65","207","207"
"Duration__in_seconds_.66","210","210"
"Duration__in_seconds_.67","211","211"
"Duration__in_seconds_.68","212","212"
"Duration__in_seconds_.69","217","217"
"Duration__in_seconds_.70","219","219"
"Duration__in_seconds_.71","224","224"
"Duration__in_seconds_.72","225","225"
"Duration__in_seconds_.73","228","228"
"Duration__in_seconds_.74","234","234"
"Duration__in_seconds_.75","241","241"
"Duration__in_seconds_.76","243","243"
"Duration__in_seconds_.77","248","248"
"Duration__in_seconds_.78","249","249"
"Duration__in_seconds_.79","257","257"
"Duration__in_seconds_.80","259","259"
"Duration__in_seconds_.81","260","260"
"Duration__in_seconds_.82","270","270"
"Duration__in_seconds_.83","272","272"
"Duration__in_seconds_.84","273","273"
"Duration__in_seconds_.85","276","276"
"Duration__in_seconds_.86","279","279"
"Duration__in_seconds_.87","282","282"
"Duration__in_seconds_.88","287","287"
